  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:40:53  02/26/2024 isnw     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      939      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.3638874E-03  -1.6699954E+00   1.7821947E+00
   1.7133401E-03  -2.5668973E-03  -2.8477615E+02   2.8142962E+00
   3.6243955E-03   7.4455342E-03  -1.7557803E+00   1.7990681E+00
   5.4375706E-03  -2.3669184E-03  -2.1087778E+00   1.7968807E+00
   6.4127054E-03   3.1947168E-03  -2.1744151E+00   1.7964802E+00
   8.5116820E-03   2.9028030E-03  -2.2678881E+00   1.7960671E+00
   1.0825804E-02   1.7345793E-03  -2.2261109E+00   1.7967556E+00
   1.2070350E-02   1.4997802E-03  -2.2169888E+00   1.7972019E+00
   1.3377124E-02   2.2888628E-03  -2.1615365E+00   1.7988638E+00
   1.4749236E-02   1.4997252E-03  -2.1553888E+00   1.7996465E+00
   1.7702708E-02   1.0264487E-03  -2.0727057E+00   1.8053839E+00
   1.9291099E-02  -1.6149862E-04  -1.9118032E+00   1.8982184E+00
   2.0800071E-02  -3.2680025E-04  -1.9760103E+00   1.8979106E+00
   2.2384491E-02  -2.5513759E-03  -2.1004701E+00   1.8948178E+00
   2.4048133E-02   9.3456951E-04  -2.1730735E+00   1.7910564E+00
   2.5628591E-02   2.4164433E-03  -2.1649444E+00   1.7907372E+00
   2.7288074E-02   3.1640669E-03  -2.1362305E+00   1.7909485E+00
   2.9030530E-02   1.2686076E-03  -2.0113161E+00   1.7925442E+00
   3.0860109E-02   2.5826644E-03  -1.9890143E+00   1.7934388E+00
   3.2781169E-02   1.1729023E-03  -1.9176165E+00   1.7965815E+00
   3.4798279E-02  -1.1230698E-03  -1.8298709E+00   1.8600354E+00
   3.6714535E-02  -2.8173733E-03  -1.9053472E+00   1.8598479E+00
   3.8726602E-02  -1.8537118E-03  -1.9672192E+00   1.8585379E+00
   4.0839273E-02   1.4553115E-03  -1.9160796E+00   1.7940594E+00
   4.2846311E-02   1.6458606E-03  -1.9130716E+00   1.7943648E+00
   4.4953700E-02   1.6997877E-03  -1.8765440E+00   1.7954293E+00
   4.7166463E-02   1.6639477E-03  -1.8160430E+00   1.7972679E+00
   4.9489859E-02  -1.1609419E-03  -1.6686397E+00   1.8529938E+00
   5.1697087E-02  -1.8668358E-03  -1.7138219E+00   1.8524095E+00
   5.4014675E-02  -1.3662907E-03  -1.7226967E+00   1.8160485E+00
   5.6216385E-02   6.7004719E-04  -1.7057490E+00   1.8155130E+00
   5.8528181E-02   9.0412330E-04  -1.6551490E+00   1.8150769E+00
   6.0955565E-02   1.3709527E-03  -1.5621973E+00   1.8147057E+00
   6.3474849E-02   7.0235721E-04  -1.3332421E+00   1.8136663E+00
   6.6120096E-02  -5.9542409E-04  -1.3853576E+00   1.8134406E+00
   6.8842635E-02  -3.7378943E-04  -1.3805754E+00   1.8144203E+00
