  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:11:55  02/15/2024 xsog     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      991      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   4.3079830E-04  -3.0748899E+00   1.9046376E+00
   4.9306001E-03  -2.1441036E-03   8.8953934E+01   2.4802725E+00
   8.9862896E-03  -9.6941916E-03  -2.9860003E+00   1.9534862E+00
   1.3872533E-02  -3.0559083E-03  -2.9123774E+00   1.8996981E+00
   1.8746560E-02   6.4841388E-03  -2.8778687E+00   1.8859566E+00
   2.3857730E-02   4.0987179E-02  -2.8191543E+00   1.9106688E+00
   2.8956119E-02  -2.1374956E-02  -2.7621949E+00   1.9118444E+00
   3.4302901E-02  -3.0605632E-03  -2.7405398E+00   1.9214655E+00
   3.9909821E-02  -1.3313651E-03  -2.7199695E+00   1.9067541E+00
   4.5502726E-02   6.5240852E-04  -2.6922553E+00   1.9050065E+00
   4.8346817E-02   1.4677944E-03  -2.6783834E+00   1.9039601E+00
   5.3287242E-02   4.0738162E-04  -2.6595418E+00   1.9028715E+00
   5.8384731E-02  -5.9718037E-05  -2.6425147E+00   1.9021993E+00
   6.4004712E-02   1.8521681E-04  -2.6265290E+00   1.9024963E+00
   6.9592156E-02  -8.9654204E-05  -2.6220417E+00   1.9023749E+00
   7.4838549E-02  -4.9056456E-04  -2.6175737E+00   1.9020373E+00
   7.8862585E-02   2.7059773E-03  -2.6288450E+00   1.9025873E+00
   8.3077788E-02   4.8454216E-04  -2.6136403E+00   1.9026523E+00
   8.8921241E-02  -1.3646459E-04  -2.6242809E+00   1.9018497E+00
   9.3099385E-02  -8.8937744E-04  -2.6273091E+00   1.9011419E+00
   9.7705796E-02  -7.4087456E-04  -2.6441591E+00   1.9004536E+00
   1.0426476E-01  -2.0919810E-03  -2.6472526E+00   1.8991148E+00
   1.0828038E-01   8.0176262E-04  -2.6602261E+00   1.8972853E+00
   1.1444940E-01  -9.2981587E-04  -2.6804719E+00   1.8961806E+00
   1.1909331E-01  -1.1919315E-03  -2.7001700E+00   1.8958880E+00
   1.2421321E-01  -6.3276058E-04  -2.7242782E+00   1.8956209E+00
   1.2696671E-01  -4.7229588E-04  -2.7347527E+00   1.8953713E+00
   1.3210589E-01  -2.3646632E-03  -2.7391405E+00   1.8918754E+00
   1.3862072E-01  -1.2982136E-03  -2.7999377E+00   1.8930370E+00
   1.4266454E-01   1.2298945E-03  -2.8362360E+00   1.8935559E+00
   1.4712285E-01   6.0187327E-04  -2.8296731E+00   1.8934277E+00
   1.5325363E-01   7.1732531E-05  -2.8597848E+00   1.8920676E+00
   1.5709910E-01  -8.7356707E-04  -2.8701112E+00   1.8914585E+00
   1.6227935E-01  -1.0127274E-03  -2.9173923E+00   1.8910999E+00
   1.6708559E-01  -5.1958614E-04  -2.9423101E+00   1.8910047E+00
   1.7284156E-01  -9.5779647E-04  -2.9755285E+00   1.8908643E+00
