  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:29:12  02/26/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      337      0.000E+00      2.367E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   6.1796093E-04  -3.0339637E+00   3.9777803E+00
   4.9306001E-03  -1.0469718E-02   8.9931267E+01   5.1956882E+00
   9.6146697E-03   8.3234264E-03  -2.6650677E+00   4.0803251E+00
   1.4064536E-02  -1.1613622E-02  -3.0570905E+00   4.0020642E+00
   1.8291909E-02  -2.3680390E-03  -2.8509655E+00   3.9883242E+00
   2.2730652E-02  -1.8343320E-03  -2.8046126E+00   3.9775391E+00
   2.7391331E-02  -1.4049327E-03  -2.7785163E+00   3.9741266E+00
   3.2285042E-02  -4.2767840E-04  -2.7491333E+00   3.9736109E+00
   3.7423443E-02   3.3295224E-04  -2.7251420E+00   3.9738288E+00
   4.2818759E-02  -5.9755379E-04  -2.6997049E+00   3.9767487E+00
   4.8483845E-02  -4.2437150E-05  -2.6753623E+00   3.9809282E+00
   5.4432184E-02  -7.2318641E-04  -2.6484313E+00   3.9840863E+00
   6.0677938E-02  -1.3602372E-03  -2.6218741E+00   3.9847474E+00
   6.7235984E-02   3.9128895E-04  -2.6082299E+00   3.9819679E+00
   7.4121930E-02   7.8858447E-04  -2.6020305E+00   3.9805574E+00
   8.1352167E-02  -1.9178123E-04  -2.6037624E+00   3.9750514E+00
   8.8943928E-02   1.4447917E-04  -2.6113632E+00   3.9710758E+00
   9.6915267E-02   1.2480814E-04  -2.6284180E+00   3.9677815E+00
   1.0528518E-01   6.8872701E-05  -2.6468754E+00   3.9648519E+00
   1.1407358E-01   6.5916555E-04  -2.6740651E+00   3.9630270E+00
   1.2326232E-01   5.9571874E-04  -2.7057295E+00   3.9619176E+00
   1.3249227E-01   1.0310335E-03  -2.7497184E+00   3.9607351E+00
   1.4165902E-01   4.4954169E-04  -2.7979124E+00   3.9592938E+00
   1.5080766E-01  -5.7187353E-05  -2.8428385E+00   3.9574838E+00
   1.5997586E-01  -8.0371537E-04  -2.8931944E+00   3.9552851E+00
   1.6914116E-01  -6.5443030E-04  -2.9454975E+00   3.9527624E+00
   1.7835450E-01  -3.1705174E-04  -2.9944730E+00   3.9500470E+00
   1.8754630E-01  -2.1687360E-04  -3.0385008E+00   3.9471681E+00
   1.9668166E-01  -1.1279900E-04  -3.0768917E+00   3.9442725E+00
   2.0582168E-01  -1.6787629E-04  -3.1090386E+00   3.9414752E+00
   2.1497157E-01   8.3829371E-05  -3.1370530E+00   3.9388118E+00
   2.2413234E-01  -3.3609942E-04  -3.1671598E+00   3.9362619E+00
   2.3333010E-01   4.2890752E-04  -3.1863070E+00   3.9337773E+00
   2.4259841E-01   1.4477771E-03  -3.1998234E+00   3.9313529E+00
   2.5187963E-01   1.5519129E-03  -3.2041867E+00   3.9289548E+00
   2.6104534E-01   1.3225955E-04  -3.1990449E+00   3.9266803E+00
