  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   02:11:33  02/29/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -3.8154141E-04   4.9910302E+00   1.2307026E+00
   7.8498787E-04   5.6808561E-02  -6.9696240E+02   8.7188429E-01
   3.6188872E-03  -1.4760891E-03   4.0205965E+00   1.4879392E+00
   6.5831421E-03   1.2547213E-02   4.1614475E+00   1.3316220E+00
   9.9246651E-03   1.4589110E-03   4.2817249E+00   1.4517626E+00
   1.3509743E-02   1.2705252E-02   4.2900419E+00   1.3459759E+00
   1.6621044E-02   9.2449076E-03   4.4275293E+00   1.3444978E+00
   1.9988552E-02   8.9223702E-03   4.4319472E+00   1.3678085E+00
   2.3760902E-02   8.1900386E-03   4.4574037E+00   1.3612412E+00
   2.6600642E-02   8.8035250E-03   4.5126710E+00   1.3557737E+00
   2.9639626E-02   7.8869415E-03   4.5729585E+00   1.3496444E+00
   3.4076985E-02   6.5692472E-03   4.6417704E+00   1.3419561E+00
   3.6950830E-02   7.5579230E-03   4.6707592E+00   1.3391038E+00
   3.9759096E-02   9.0622511E-03   4.7037468E+00   1.3375241E+00
   4.3852609E-02   6.1358679E-03   4.7718868E+00   1.3381730E+00
   4.6506349E-02   8.7330872E-03   4.8372426E+00   1.3406302E+00
   5.0381206E-02   6.6649504E-03   4.8987770E+00   1.3437735E+00
   5.2899119E-02   7.9065440E-03   4.9470601E+00   1.3463936E+00
   5.6584917E-02   7.0134341E-03   5.0189857E+00   1.3508844E+00
   6.0169857E-02   4.8376834E-03   5.1005206E+00   1.3548634E+00
   6.3664138E-02   4.5824745E-03   5.1708283E+00   1.3576919E+00
   6.7079641E-02   6.2429141E-03   5.2493262E+00   1.3607305E+00
   7.0425577E-02   6.5670153E-03   5.3299932E+00   1.3628511E+00
   7.3711127E-02   4.0536616E-03   5.4293666E+00   1.3642930E+00
   7.6943338E-02   4.9978620E-03   5.4831862E+00   1.3662707E+00
   8.0124237E-02   3.0955349E-03   5.5635276E+00   1.3669938E+00
   8.3270356E-02   4.4916039E-03   5.6445923E+00   1.3688469E+00
   8.6384371E-02   1.8365108E-03   5.7203722E+00   1.3702086E+00
   9.0499356E-02   9.8429592E-03   5.8106842E+00   1.3736005E+00
   9.3632452E-02   7.4586977E-04   5.8958149E+00   1.3800629E+00
   9.6850887E-02   3.2758738E-03   5.9917941E+00   1.3874333E+00
   1.0002871E-01   7.4751582E-04   6.0836816E+00   1.3865076E+00
   1.0327452E-01   5.1674955E-03   6.1382885E+00   1.3962449E+00
   1.0649139E-01   3.5452631E-03   6.2229080E+00   1.3946003E+00
   1.1074149E-01   8.9076103E-04   6.3714271E+00   1.3973867E+00
   1.1383880E-01   6.5256772E-03   6.4794645E+00   1.4009961E+00
   1.1699831E-01   1.8800003E-02   6.5353718E+00   1.4024129E+00
   1.2058183E-01   3.1323673E-03   6.6926260E+00   1.4132898E+00
