  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   05:11:31  02/29/2024 jcer     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -4.9835618E-04   4.5659294E+00   7.0866942E-01
   8.1280788E-04   2.1367934E-02  -6.0913342E+02   1.3325366E+00
   3.0154155E-03  -2.0208270E-03   4.4399757E+00   9.2897034E-01
   6.8164491E-03   8.8069243E-03   4.2014852E+00   8.3731586E-01
   1.0458271E-02   8.5712699E-03   4.0636649E+00   8.4382582E-01
   1.3696004E-02   8.7522175E-03   4.1006727E+00   8.3409041E-01
   1.6133297E-02   7.8771953E-03   4.1561852E+00   8.3150673E-01
   2.0255776E-02   8.9778723E-03   4.2376194E+00   8.2746863E-01
   2.3212118E-02   6.2956712E-03   4.2775431E+00   8.2028121E-01
   2.6290031E-02   8.0324495E-03   4.3289032E+00   8.1376255E-01
   3.0585410E-02   8.4064836E-03   4.3818669E+00   8.0971712E-01
   3.3988524E-02   6.8603246E-03   4.4409924E+00   8.0023390E-01
   3.6550310E-02   6.1509511E-03   4.4734077E+00   7.9537559E-01
   3.9374683E-02   5.8667464E-03   4.5373025E+00   7.9334468E-01
   4.3455686E-02   8.0839982E-03   4.5519371E+00   7.9049551E-01
   4.6569865E-02   3.7877173E-03   4.6164255E+00   7.8911734E-01
   5.0355170E-02   7.0705367E-03   4.6760287E+00   7.8909969E-01
   5.3720072E-02   6.7155850E-03   4.7297273E+00   7.9109979E-01
   5.6252953E-02   8.2083344E-03   4.7621942E+00   7.8912997E-01
   6.0547274E-02   4.4979737E-03   4.8238206E+00   7.9180813E-01
   6.3511051E-02   1.2067810E-02   4.8760200E+00   7.8072488E-01
   6.6496275E-02   1.0098400E-02   4.9284029E+00   7.8534269E-01
   7.0121497E-02   1.7790338E-02   5.0533662E+00   7.8806365E-01
   7.3220827E-02   8.3856005E-03   5.0093155E+00   7.8541481E-01
   7.7176444E-02   3.6401979E-03   5.1026254E+00   7.8122848E-01
   8.0056719E-02   1.5816143E-02   5.2172847E+00   7.7778333E-01
   8.3390996E-02   7.1692611E-03   5.2592478E+00   7.7520227E-01
   8.7250836E-02   8.6779650E-03   5.3048162E+00   7.7455682E-01
   9.0156443E-02   1.2866313E-02   5.3404884E+00   7.6623565E-01
   9.3359865E-02   9.0329964E-03   5.4007583E+00   7.6953876E-01
   9.6535459E-02   1.4631864E-02   5.4697480E+00   7.6853734E-01
   9.9659391E-02   1.3502734E-02   5.5298247E+00   7.7193356E-01
   1.0427707E-01   1.0472244E-02   5.6118107E+00   7.7100527E-01
   1.0719476E-01   1.0611862E-02   5.6783671E+00   7.6908880E-01
   1.1000369E-01   9.2327958E-03   5.7237191E+00   7.7026474E-01
   1.1411589E-01   8.6400080E-03   5.7907410E+00   7.6880300E-01
   1.1681802E-01   1.1993552E-02   5.8474569E+00   7.6678151E-01
   1.2081800E-01   7.6334090E-03   5.9258909E+00   7.6536632E-01
