  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   07:57:11  02/29/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.3607729E-04   4.0834403E+00  -3.3167934E-01
   2.3157003E-03   9.2736855E-03  -1.8795070E+02   1.3253144E+00
   7.0611350E-03  -4.3607908E-03   3.6782644E+00  -1.3519436E-01
   1.0111435E-02  -3.6792520E-03   3.8079321E+00  -1.4777140E-01
   1.3642540E-02   3.1633984E-04   3.8961332E+00  -1.6014491E-01
   1.7363915E-02   1.7729071E-03   3.9352129E+00  -1.7415702E-01
   2.0080782E-02   1.0118998E-03   3.9670556E+00  -1.8074133E-01
   2.3076128E-02   1.8491609E-03   4.0176244E+00  -1.8535791E-01
   2.6378497E-02   1.6682646E-03   4.1041484E+00  -1.9392082E-01
   3.0274004E-02   4.9426709E-04   4.0735254E+00  -1.7030221E-01
   3.3241402E-02  -7.3984725E-04   4.1429915E+00  -2.0027788E-01
   3.6676534E-02  -1.6294970E-03   4.1831355E+00  -2.1567717E-01
   4.0653128E-02   1.2263804E-04   4.2629881E+00  -2.1061043E-01
   4.3646619E-02   3.5525262E-03   4.2905774E+00  -2.2173701E-01
   4.6946947E-02   1.4988723E-03   4.3111062E+00  -2.2984573E-01
   4.9604483E-02   1.8438291E-03   4.3320103E+00  -2.3062596E-01
   5.4110151E-02   4.3023350E-03   4.3850317E+00  -2.2251923E-01
   5.7095155E-02   3.8193865E-03   4.4330597E+00  -2.2271086E-01
   5.9959020E-02   3.2205868E-03   4.4796681E+00  -2.5504121E-01
   6.3905597E-02   5.3820633E-03   4.5097094E+00  -2.6346424E-01
   6.6634998E-02   3.4395286E-03   4.5320902E+00  -2.2980842E-01
   7.0684038E-02   2.5916121E-03   4.5825849E+00  -2.4919368E-01
   7.3319390E-02   3.4931791E-03   4.6210427E+00  -2.5197729E-01
   7.7121101E-02   2.9745216E-03   4.6831164E+00  -2.6247519E-01
   7.9982944E-02   4.6327454E-03   4.7063012E+00  -2.6259655E-01
   8.3138131E-02   7.2342567E-03   4.7295914E+00  -2.6983619E-01
   8.6575136E-02  -6.3876272E-04   4.7598801E+00  -2.7277759E-01
   8.9894474E-02   3.1623237E-03   4.8385921E+00  -2.8511113E-01
   9.3322128E-02   2.8484846E-03   4.8418131E+00  -2.8399366E-01
   9.7036116E-02   8.4134983E-04   4.8496408E+00  -2.8706241E-01
   1.0028955E-01   1.0394040E-03   4.8845630E+00  -2.8899649E-01
   1.0322407E-01   3.1972979E-03   4.9522614E+00  -3.0067420E-01
   1.0727613E-01   3.1826773E-03   5.0052700E+00  -3.0798364E-01
   1.1087857E-01   5.6743617E-03   5.0191736E+00  -3.1267667E-01
   1.1359042E-01  -5.4803649E-03   5.0419059E+00  -3.1597951E-01
   1.1658023E-01   1.7302638E-03   5.0699267E+00  -3.2018951E-01
   1.1987649E-01  -1.6175171E-04   5.1123319E+00  -3.2796091E-01
