  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   23:25:45  02/28/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.1729323E-03   5.9333897E+00   1.8034778E+00
   2.6429200E-03   2.4389142E-02  -2.4794739E+02  -2.3886117E-01
   6.1129373E-03   7.4215513E-03   6.2141256E+00   1.8831481E+00
   9.3169240E-03  -1.0000813E-02   5.8662138E+00   1.8687018E+00
   1.2849320E-02   2.3679698E-03   6.0158114E+00   1.7416538E+00
   1.6372884E-02   1.8820057E-03   5.9098992E+00   1.8534225E+00
   1.9887639E-02  -7.5281574E-04   5.8717089E+00   1.8518376E+00
   2.3762658E-02   2.3623784E-03   6.0740781E+00   1.7687669E+00
   2.7627988E-02   1.4732546E-03   5.9179511E+00   1.8293878E+00
   2.9508801E-02  -6.3602248E-04   5.9087014E+00   1.8299954E+00
   3.3557251E-02   4.6598751E-04   5.9927325E+00   1.8333462E+00
   3.5734531E-02   9.9931471E-04   5.9849701E+00   1.8326650E+00
   4.0192503E-02   2.4881612E-03   6.0629711E+00   1.8177985E+00
   4.2472929E-02   4.8599156E-04   6.0525813E+00   1.8176140E+00
   4.7381543E-02   9.4244169E-04   6.1175132E+00   1.8205390E+00
   5.0021417E-02  -6.6582428E-04   6.1768403E+00   1.8253611E+00
   5.2793290E-02   1.4848277E-04   6.2093377E+00   1.8308169E+00
   5.8191508E-02  -6.4410694E-04   6.2799239E+00   1.8328540E+00
   6.1094698E-02   3.1395943E-04   6.2977338E+00   1.8331382E+00
   6.4143047E-02  -6.4289907E-04   6.3847651E+00   1.8352495E+00
   6.7343809E-02  -1.9162995E-04   6.3989253E+00   1.8352629E+00
   7.0704609E-02   2.4023578E-03   6.5060744E+00   1.8358541E+00
   7.4233457E-02  -2.0397914E-04   6.5584388E+00   1.8350488E+00
   7.7908948E-02   9.8827493E-04   6.6273623E+00   1.8350055E+00
   8.1226297E-02  -1.0152888E-03   6.7089972E+00   1.8358371E+00
   8.4614359E-02   6.0378696E-04   6.7881460E+00   1.8371527E+00
   8.8063799E-02   1.1433737E-03   6.8775144E+00   1.8386967E+00
   9.1204606E-02   8.3246169E-04   6.9588828E+00   1.8405471E+00
   9.4476581E-02  -6.9333578E-04   7.0308223E+00   1.8423944E+00
   9.7680546E-02  -5.4432591E-04   7.1037951E+00   1.8442996E+00
   1.0063238E-01   1.0510490E-03   7.1865416E+00   1.8462712E+00
   1.0371056E-01   8.8524754E-04   7.2565117E+00   1.8479432E+00
   1.0686320E-01  -2.6875194E-03   7.3378735E+00   1.8494205E+00
   1.0972084E-01  -2.5682730E-05   7.4224076E+00   1.8508356E+00
   1.1269910E-01  -1.0530216E-04   7.4991345E+00   1.8519535E+00
   1.1556555E-01   1.7248774E-04   7.5945897E+00   1.8529609E+00
   1.2125944E-01  -1.6529678E-03   7.7756453E+00   1.8548034E+00
