  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:55:35  02/28/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.1236261E-03  -1.2446014E+00   1.2199963E+00
   1.7133401E-03  -1.8033733E-03  -2.1980731E+02   9.8350906E-01
   3.0095419E-03   6.0212561E-03  -2.7791538E+00   1.3232059E+00
   5.4107555E-03  -1.2994919E-02  -2.2356138E+00   1.2399124E+00
   6.6390689E-03  -3.6720589E-03  -2.3650098E+00   1.2388912E+00
   7.9287980E-03   2.2538232E-03  -2.4244554E+00   1.2379417E+00
   1.0704939E-02   2.6367451E-03  -2.3440027E+00   1.2366421E+00
   1.2197962E-02   1.2827329E-03  -2.2755158E+00   1.2363626E+00
   1.3765636E-02   8.9229806E-04  -2.2265077E+00   1.2360356E+00
   1.5411693E-02   1.6397483E-03  -2.1975217E+00   1.2358946E+00
   1.7140053E-02   2.2383025E-03  -2.1558197E+00   1.2357128E+00
   1.8954830E-02   3.2834979E-03  -2.1188278E+00   1.2358229E+00
   2.0845352E-02   2.7549402E-03  -2.0828588E+00   1.2352493E+00
   2.2613091E-02   3.9131888E-03  -2.0452051E+00   1.2353098E+00
   2.4349466E-02   3.9637750E-03  -2.0100765E+00   1.2356638E+00
   2.6049485E-02   4.3489174E-03  -1.9740409E+00   1.2360440E+00
   2.7712157E-02   5.7111671E-03  -1.9334984E+00   1.2366563E+00
   2.9329954E-02   4.0382789E-03  -1.9023297E+00   1.2372319E+00
   3.0897992E-02   6.0364483E-03  -1.8894913E+00   1.2376194E+00
   3.2424416E-02   5.7118335E-03  -1.8859546E+00   1.2376498E+00
   3.3917699E-02   5.4040579E-03  -1.8726878E+00   1.2373188E+00
   3.5384953E-02   5.7056807E-03  -1.8252201E+00   1.2384176E+00
   3.8267870E-02   5.1632184E-03  -1.7804172E+00   1.2394631E+00
   3.9690129E-02   5.2290112E-03  -1.7503800E+00   1.2396594E+00
   4.1098345E-02   5.7342509E-03  -1.7320400E+00   1.2397274E+00
   4.2486809E-02   5.5521540E-03  -1.7091428E+00   1.2397821E+00
   4.5209430E-02   6.0722847E-03  -1.6657058E+00   1.2397068E+00
   4.6546206E-02   5.3869653E-03  -1.6417892E+00   1.2395226E+00
   4.7868174E-02   6.4177532E-03  -1.5982094E+00   1.2394060E+00
   4.9176369E-02   7.1662008E-03  -1.5409939E+00   1.2391485E+00
   5.1755223E-02   6.2817819E-03  -1.5080240E+00   1.2382222E+00
   5.3027563E-02   7.2779031E-03  -1.4972802E+00   1.2377561E+00
   5.4289576E-02   6.7037926E-03  -1.4773344E+00   1.2371346E+00
   5.6785636E-02   7.9338476E-03  -1.4214534E+00   1.2361106E+00
   5.8020946E-02   7.6601738E-03  -1.3824202E+00   1.2355620E+00
   6.0468275E-02   7.8145191E-03  -1.3347169E+00   1.2347503E+00
   6.1681468E-02   7.9322625E-03  -1.2957808E+00   1.2342874E+00
