  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:03:08  03/05/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.3937197E-04   4.7825613E+00   1.2288833E+00
   8.1759767E-04   5.2814074E-02  -6.5426636E+02   8.8707137E-01
   3.0331851E-03   4.8036412E-03   4.3951497E+00   1.4814255E+00
   6.9339015E-03   1.1455282E-02   3.9021709E+00   1.3090477E+00
   1.0329246E-02   6.9281817E-03   4.0001645E+00   1.3844700E+00
   1.3275886E-02   7.6925866E-03   4.1139584E+00   1.3742123E+00
   1.6686991E-02   9.3192291E-03   4.1584015E+00   1.3505360E+00
   2.0635771E-02   1.0178435E-02   4.1911955E+00   1.3413404E+00
   2.3608323E-02   8.8697122E-03   4.2332721E+00   1.3367745E+00
   2.6691802E-02   8.9094443E-03   4.3343310E+00   1.3395665E+00
   2.9714420E-02   7.0667164E-03   4.3202615E+00   1.3387094E+00
   3.2675710E-02   8.6498605E-03   4.3328609E+00   1.3385366E+00
   3.7006456E-02   2.5073143E-03   4.4764628E+00   1.3446231E+00
   3.9821010E-02   9.0164915E-03   4.4803319E+00   1.3440640E+00
   4.3936774E-02   7.7367043E-03   4.4851995E+00   1.3414575E+00
   4.6614211E-02   5.5156345E-03   4.5325212E+00   1.3396021E+00
   5.0537769E-02   5.5420431E-03   4.6515794E+00   1.3379066E+00
   5.3095356E-02   7.6019075E-03   4.6991553E+00   1.3375773E+00
   5.6850683E-02   6.9625941E-03   4.7347922E+00   1.3381833E+00
   6.0512844E-02   5.8390344E-03   4.7922969E+00   1.3386468E+00
   6.2911361E-02   3.8188915E-03   4.8402910E+00   1.3400830E+00
   6.6448227E-02   6.5134908E-03   4.9349365E+00   1.3427942E+00
   6.9916517E-02   6.1943145E-03   5.0197325E+00   1.3473252E+00
   7.3324703E-02   3.8433981E-03   5.0883789E+00   1.3515377E+00
   7.6664343E-02   6.9330996E-03   5.1443911E+00   1.3557360E+00
   8.0003187E-02   2.4293414E-03   5.2271290E+00   1.3612378E+00
   8.3359316E-02   3.5558157E-03   5.3113194E+00   1.3642589E+00
   8.6809270E-02   3.7326084E-03   5.3669500E+00   1.3673055E+00
   9.0181313E-02   4.6355925E-03   5.4648342E+00   1.3697933E+00
   9.3583636E-02   2.8995536E-03   5.5562501E+00   1.3727092E+00
   9.6938118E-02   3.7241338E-03   5.6356158E+00   1.3759027E+00
   1.0026108E-01   4.2827465E-03   5.7165484E+00   1.3743395E+00
   1.0355297E-01   5.1837219E-03   5.7685747E+00   1.3827057E+00
   1.0681985E-01   3.0994646E-03   5.8616638E+00   1.3784859E+00
   1.1006749E-01  -7.5697964E-03   5.9255910E+00   1.3774126E+00
   1.1384109E-01  -1.8089956E-03   6.0988355E+00   1.3885796E+00
   1.1666690E-01   1.0435637E-02   6.1197701E+00   1.3880475E+00
   1.2072832E-01   2.4557615E-02   6.2904167E+00   1.3940537E+00
