  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:08:43  02/29/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   1.0033731E-03  -2.4819453E+00   1.1989825E+00
   1.6107733E-03  -1.3020121E-02   2.2751544E+02   1.1341665E+00
   4.5947307E-03  -1.0245800E-03  -2.1898026E+00   1.1843332E+00
   1.0547171E-02  -1.0123136E-03  -2.0595613E+00   1.1872169E+00
   1.3988421E-02  -1.0515654E-03  -2.0492389E+00   1.1888355E+00
   1.9822821E-02  -6.9384323E-04  -2.0834298E+00   1.1927420E+00
   2.4214825E-02  -7.9925463E-04  -2.0935743E+00   1.1934152E+00
   2.9036136E-02  -2.7365261E-04  -2.0989115E+00   1.1945071E+00
   3.4090787E-02   1.8871947E-03  -2.1117945E+00   1.1928598E+00
   3.9337896E-02  -2.1148196E-03  -2.1250646E+00   1.1919733E+00
   4.4787798E-02  -1.8705670E-03  -2.1269658E+00   1.1933783E+00
   5.0262850E-02   3.4250205E-03  -2.1190140E+00   1.1923751E+00
   5.4808740E-02  -2.0154401E-04  -2.1454616E+00   1.1866326E+00
   5.8637813E-02  -1.1659494E-04  -2.1486468E+00   1.1867417E+00
   6.3487090E-02   1.7135675E-03  -2.1478860E+00   1.1886073E+00
   6.8908088E-02   1.5415202E-03  -2.1550930E+00   1.1905402E+00
   7.3973104E-02   4.5975990E-05  -2.1690438E+00   1.1932291E+00
   7.9042777E-02  -3.3883229E-04  -2.2069776E+00   1.2005427E+00
   8.4015131E-02   2.1359809E-03  -2.1561730E+00   1.2000204E+00
   8.9039311E-02  -7.5816200E-03  -2.2491868E+00   1.1893395E+00
   9.3465611E-02   1.7794177E-02  -2.2916753E+00   1.1905077E+00
   9.8216847E-02   4.7100754E-03  -2.1395862E+00   1.2028195E+00
   1.0399200E-01  -5.5967630E-03  -2.2792878E+00   1.2015078E+00
   1.0896209E-01   4.3256776E-03  -2.2636824E+00   1.1990768E+00
   1.1347280E-01  -5.5292742E-03  -2.2939684E+00   1.2013153E+00
   1.1774856E-01  -1.0953783E-03  -2.3021386E+00   1.2029281E+00
   1.2280818E-01   2.0462933E-03  -2.3165874E+00   1.2039946E+00
   1.2842228E-01  -5.6312099E-04  -2.3303442E+00   1.2070115E+00
   1.3350365E-01  -2.4402628E-03  -2.3421364E+00   1.2080460E+00
   1.3802122E-01   2.9884075E-04  -2.3603101E+00   1.2108389E+00
   1.4322051E-01  -1.3796367E-04  -2.3777671E+00   1.2112031E+00
   1.4801209E-01  -1.5213915E-04  -2.3913493E+00   1.2128710E+00
   1.5336235E-01   6.6024408E-04  -2.4046588E+00   1.2136117E+00
   1.5715681E-01  -1.6477306E-03  -2.4081311E+00   1.2132065E+00
   1.6316240E-01   1.1855140E-03  -2.4316590E+00   1.2151380E+00
   1.6850160E-01   1.2228172E-03  -2.4431856E+00   1.2168788E+00
