  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:21:40  02/28/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      993      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.9310209E-03  -1.1009713E+00   6.7798209E-01
   1.7133401E-03  -1.5362839E-03  -1.8920872E+02   3.0800897E-01
   3.3065572E-03   3.1336604E-03  -2.2963328E+00   7.2428721E-01
   4.8201135E-03  -1.5762148E-02  -2.0237091E+00   7.2498661E-01
   6.4093475E-03   3.6063178E-03  -1.8889602E+00   6.6416955E-01
   7.9191197E-03   2.8193165E-03  -1.8965447E+00   6.6175497E-01
   9.5043806E-03   3.9579538E-03  -1.9298692E+00   6.6291666E-01
   1.1168905E-02   4.4328403E-03  -2.0130231E+00   7.0442295E-01
   1.4410566E-02   3.8312892E-03  -1.9497175E+00   7.0635760E-01
   1.6153947E-02   3.8405024E-03  -1.8852727E+00   7.0683539E-01
   1.7984496E-02   4.5189993E-03  -1.7663765E+00   7.0651466E-01
   1.9906573E-02   6.6657467E-03  -1.5569180E+00   6.8196285E-01
   2.1732548E-02   7.5639901E-03  -1.6021452E+00   6.8131274E-01
   2.3649819E-02   8.6425208E-03  -1.6510937E+00   6.8156242E-01
   2.5662955E-02   6.4390423E-03  -1.8144541E+00   6.9388396E-01
   2.7776748E-02   8.5694147E-03  -1.5965424E+00   7.0292169E-01
   2.9996231E-02   5.4056910E-03  -1.6053603E+00   7.0347983E-01
   3.2275602E-02   5.2112425E-03  -1.5919952E+00   7.0390821E-01
   3.4483563E-02   6.8490957E-03  -1.4786860E+00   7.0489866E-01
   3.6600582E-02   7.0325993E-03  -1.4807217E+00   7.0483559E-01
   3.8645003E-02   6.9722817E-03  -1.4830552E+00   7.0450681E-01
   4.0484831E-02   7.2768270E-03  -1.3562138E+00   6.9771570E-01
   4.2279340E-02   7.1894019E-03  -1.3637533E+00   6.9746816E-01
   4.4036068E-02   8.2155271E-03  -1.3642730E+00   6.9729555E-01
   4.5763116E-02   8.3342483E-03  -1.3491013E+00   6.9710827E-01
   4.7466453E-02   7.0345011E-03  -1.2919588E+00   6.9754344E-01
   4.9150731E-02   6.8828519E-03  -1.2588787E+00   6.9810230E-01
   5.0820731E-02   5.8815121E-03  -1.2050655E+00   6.9892514E-01
   5.2486613E-02   7.1940483E-03  -1.1732894E+00   6.9983435E-01
   5.4179542E-02   5.8370312E-03  -1.1533904E+00   7.0078534E-01
   5.5903818E-02   4.9056835E-03  -1.1218007E+00   7.0177227E-01
   5.7661586E-02   6.8337787E-03  -1.0948286E+00   7.0208538E-01
   5.9452765E-02   6.5322821E-03  -1.0468210E+00   7.0304602E-01
   6.1271049E-02   6.0453517E-03  -9.8954731E-01   7.0400721E-01
   6.3129254E-02   5.6301579E-03  -9.5291257E-01   7.0474291E-01
   6.4848721E-02   4.5596105E-03  -9.3418336E-01   7.0511484E-01
   6.6474110E-02   5.9881695E-03  -9.1629797E-01   7.0532781E-01
