  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:52:41  03/05/2024 nhtt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.0743762E-04   4.3776455E+00   7.0387125E-01
   8.4528676E-04   3.4639370E-02  -5.7275098E+02   1.2662501E+00
   3.1359084E-03   5.3263106E-03   4.1497149E+00   9.0298009E-01
   6.3318624E-03   4.6834215E-03   3.7966497E+00   8.1383151E-01
   9.9388575E-03   8.5195731E-03   3.8329928E+00   8.4281242E-01
   1.3145629E-02   7.5457869E-03   3.8783813E+00   8.3667666E-01
   1.6857868E-02   7.8204656E-03   3.9505024E+00   8.2689095E-01
   1.9652357E-02   7.3479512E-03   4.0018530E+00   8.1626707E-01
   2.2698363E-02   7.6287617E-03   4.0491023E+00   8.0820215E-01
   2.7483307E-02   7.3934225E-03   4.1171627E+00   8.1119972E-01
   3.0842371E-02   8.2439017E-03   4.1668530E+00   7.9043472E-01
   3.2569505E-02   6.5148016E-03   4.1729932E+00   7.8999734E-01
   3.6126915E-02   5.8435961E-03   4.1977262E+00   7.8959119E-01
   3.9842345E-02   5.4419204E-03   4.2805328E+00   7.9072642E-01
   4.3401919E-02   1.2728808E-02   4.2685432E+00   7.9317063E-01
   4.6542656E-02   7.5624892E-03   4.3879871E+00   7.9215997E-01
   5.0318543E-02   5.5909846E-03   4.4219751E+00   7.8668326E-01
   5.3524915E-02   2.1221910E-03   4.4678979E+00   7.9234260E-01
   5.6375511E-02   7.5908410E-03   4.4967985E+00   7.8445780E-01
   5.9675436E-02   1.2794333E-02   4.5440545E+00   7.8050184E-01
   6.3495509E-02   8.6264871E-03   4.6250763E+00   7.7111059E-01
   6.6371180E-02   9.2189405E-03   4.6617217E+00   7.6439768E-01
   6.9541603E-02   9.1109863E-03   4.7000866E+00   7.6474917E-01
   7.3036991E-02   5.9156851E-03   4.8137808E+00   7.6977223E-01
   7.6809086E-02   9.5636090E-03   4.8230023E+00   7.7227759E-01
   8.0529779E-02   8.3372295E-03   4.8516884E+00   7.7195954E-01
   8.4168017E-02   5.5142618E-03   4.9255199E+00   7.7060175E-01
   8.7727778E-02   7.8884484E-03   5.0568905E+00   7.6786888E-01
   9.0447985E-02   1.7486101E-02   5.0525141E+00   7.6588315E-01
   9.3447015E-02   8.3412994E-03   5.0669727E+00   7.6611042E-01
   9.6722491E-02  -1.8989036E-03   5.1318707E+00   7.6521629E-01
   9.9851765E-02   5.7525346E-03   5.3018184E+00   7.5424784E-01
   1.0301220E-01   4.6375790E-03   5.2785711E+00   7.5817227E-01
   1.0755650E-01   1.4811322E-03   5.3020296E+00   7.5829357E-01
   1.1049656E-01   8.4063821E-03   5.3765316E+00   7.5624347E-01
   1.1337725E-01   7.2329179E-03   5.4511094E+00   7.5590074E-01
   1.1760148E-01   8.5438201E-03   5.5343027E+00   7.5383478E-01
   1.2034783E-01   9.1975396E-03   5.5675797E+00   7.5455004E-01
