  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:14:29  02/29/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   4.3044554E-04  -2.2186987E+00   5.7881993E-01
   1.9265447E-03   2.1409963E-03   1.7067088E+02   3.4933132E-01
   5.2599404E-03  -1.0078041E-03  -1.9840677E+00   5.7298470E-01
   1.0123503E-02   1.6395060E-03  -1.8614520E+00   5.7416350E-01
   1.5753685E-02   1.4489398E-03  -1.9091750E+00   5.7778168E-01
   1.9991960E-02   1.5410095E-03  -1.9269849E+00   5.7986832E-01
   2.4664657E-02   1.2972327E-03  -1.9434000E+00   5.8162504E-01
   2.9816307E-02   1.5944600E-03  -1.9550806E+00   5.8347511E-01
   3.5448313E-02   1.3934105E-03  -1.9679000E+00   5.8571208E-01
   3.8377989E-02   9.5600315E-04  -1.9741539E+00   5.8648515E-01
   4.4449974E-02   1.2541013E-03  -1.9922463E+00   5.8721948E-01
   5.0862528E-02   8.3457935E-04  -2.0007298E+00   5.8658630E-01
   5.4212611E-02   8.9299661E-04  -2.0038495E+00   5.8697826E-01
   5.7667226E-02   1.1566606E-03  -2.0073845E+00   5.8742625E-01
   6.4404041E-02   2.4185001E-03  -2.0150802E+00   5.8906651E-01
   7.0204660E-02   1.6271548E-03  -2.0282414E+00   5.9125060E-01
   7.3061012E-02  -3.4448455E-04  -2.0393715E+00   5.9077352E-01
   7.8798667E-02  -3.4073964E-04  -2.0544109E+00   5.9167874E-01
   8.4526129E-02   1.7052101E-03  -2.0621753E+00   5.9358191E-01
   8.9447491E-02   6.2668244E-03  -2.0441203E+00   6.0062790E-01
   9.4439298E-02  -9.6408613E-03  -2.1148362E+00   5.9399664E-01
   9.9355817E-02   1.5338596E-02  -2.0537260E+00   6.0200542E-01
   1.0477628E-01   2.2152823E-03  -2.0870564E+00   5.9962326E-01
   1.0769143E-01  -1.0211942E-02  -2.1371074E+00   5.9941965E-01
   1.1338285E-01   6.9967089E-03  -2.0930786E+00   6.0322607E-01
   1.1880376E-01   1.1169882E-03  -2.1165528E+00   6.0284692E-01
   1.2358481E-01  -1.8575345E-03  -2.1395116E+00   6.0405993E-01
   1.2793128E-01   1.1734975E-03  -2.1494544E+00   6.0622168E-01
   1.3252142E-01   1.5549624E-03  -2.1534426E+00   6.0837454E-01
   1.3758203E-01   7.1078475E-04  -2.1546485E+00   6.0997427E-01
   1.4300764E-01  -1.9138677E-04  -2.1610811E+00   6.1105424E-01
   1.4882794E-01   7.0038490E-04  -2.1615336E+00   6.1228412E-01
   1.5195812E-01   5.2427821E-04  -2.1692870E+00   6.1239618E-01
   1.5869586E-01   5.2108208E-04  -2.1850641E+00   6.1360562E-01
   1.6231945E-01   8.9018111E-04  -2.1840129E+00   6.1565298E-01
   1.6612421E-01  -2.6786901E-04  -2.1882365E+00   6.1612135E-01
   1.7202128E-01   1.6487575E-03  -2.1807871E+00   6.1955273E-01
