  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   01:32:43  03/06/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -1.9138103E-04   3.9239907E+00  -3.4063032E-01
   7.8659592E-04   5.7991892E-03  -5.4844861E+02   4.3938828E+00
   3.6263005E-03  -8.9528020E-03   3.5031340E+00  -1.1754874E-01
   6.5966276E-03  -1.0457789E-03   3.6914616E+00  -1.6268979E-01
   1.0121006E-02  -5.7301647E-04   3.6273122E+00  -1.7009261E-01
   1.3254327E-02  -1.2220630E-03   3.6832552E+00  -1.7835720E-01
   1.6881537E-02   7.9715048E-04   3.7258670E+00  -1.8088956E-01
   1.9612020E-02   2.9592560E-05   3.7592993E+00  -1.8254654E-01
   2.2622377E-02  -2.2418609E-04   3.8129549E+00  -2.0249076E-01
   2.6873128E-02   2.1679194E-03   3.8386719E+00  -2.0615432E-01
   3.0654134E-02   2.8107108E-03   3.9052074E+00  -2.1911214E-01
   3.3500388E-02   1.1776165E-03   3.9195278E+00  -2.1955642E-01
   3.6638387E-02  -4.1476561E-04   4.0042992E+00  -2.2698440E-01
   4.0098026E-02   1.5523614E-03   4.0045214E+00  -2.1506061E-01
   4.3912284E-02   1.0636430E-03   4.0216575E+00  -2.3048085E-01
   4.5963608E-02   2.3397468E-03   4.0381646E+00  -2.3212758E-01
   5.0649140E-02   1.4324301E-03   4.1427259E+00  -2.2915122E-01
   5.3819615E-02   3.8990511E-03   4.1324301E+00  -2.4421644E-01
   5.6828983E-02   1.7341593E-03   4.1444635E+00  -2.3896188E-01
   6.0029671E-02   5.3606287E-04   4.2050662E+00  -2.5656140E-01
   6.4031854E-02   3.9636050E-03   4.2863612E+00  -2.4308471E-01
   6.6755250E-02   5.5066282E-03   4.3122606E+00  -2.7551922E-01
   7.0905358E-02   5.3324127E-03   4.3362031E+00  -2.6362926E-01
   7.4029468E-02   1.7948634E-03   4.3630843E+00  -2.7205119E-01
   7.7473804E-02   6.8484102E-03   4.4059992E+00  -2.7388397E-01
   7.9326183E-02   3.1840280E-03   4.4283457E+00  -2.7522960E-01
   8.3216302E-02   1.8096548E-03   4.5180869E+00  -2.8408250E-01
   8.6612940E-02   1.8926742E-03   4.4821992E+00  -2.8850031E-01
   9.0249144E-02  -1.3727294E-03   4.5132508E+00  -2.8879604E-01
   9.4080634E-02   2.2052370E-03   4.5940247E+00  -2.9665530E-01
   9.6102625E-02   2.5989134E-03   4.5951662E+00  -3.0074567E-01
   9.9980511E-02   2.2511682E-03   4.6048217E+00  -3.0432358E-01
   1.0334614E-01   1.6955427E-03   4.6699419E+00  -3.2112327E-01
   1.0689142E-01   3.7652559E-03   4.7199159E+00  -3.2520348E-01
   1.0956023E-01   4.8550298E-03   4.7351990E+00  -3.2366380E-01
   1.1408500E-01   2.3820542E-03   4.7634993E+00  -3.3161286E-01
   1.1749115E-01   1.9141620E-03   4.8022194E+00  -3.3846158E-01
