  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:04:20  02/29/2024 tjbn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   1.1757520E-04  -1.9276305E+00  -6.7509884E-01
   2.2301166E-03  -7.7704032E-04   1.3061905E+02  -1.6896329E+00
   4.3487274E-03  -5.2591064E-03  -1.6772819E+00  -6.9106764E-01
   1.0281103E-02   7.5293612E-04  -1.6822280E+00  -6.9447827E-01
   1.4602566E-02  -1.1186998E-03  -1.6891252E+00  -6.8927628E-01
   1.9366980E-02  -1.8175268E-03  -1.7237906E+00  -6.8649846E-01
   2.4619745E-02  -1.3261006E-03  -1.7430768E+00  -6.8202347E-01
   3.0152112E-02  -9.3781989E-04  -1.7544620E+00  -6.7805350E-01
   3.4468263E-02  -6.5548567E-04  -1.7618121E+00  -6.7392653E-01
   3.9454248E-02  -2.1267647E-04  -1.7757983E+00  -6.6762722E-01
   4.4775408E-02  -6.5875443E-04  -1.7886964E+00  -6.6492468E-01
   4.9870539E-02  -3.9493400E-04  -1.7939441E+00  -6.6200978E-01
   5.4146502E-02   1.3495213E-04  -1.8003945E+00  -6.6136581E-01
   5.9894785E-02  -1.7751240E-03  -1.8148062E+00  -6.5484774E-01
   6.4368330E-02  -3.3938151E-04  -1.8202323E+00  -6.4996493E-01
   6.8916433E-02  -3.1950625E-04  -1.8244498E+00  -6.4547616E-01
   7.4099228E-02  -1.3087710E-03  -1.8372178E+00  -6.4869153E-01
   7.9584576E-02   4.4847927E-03  -1.8303823E+00  -6.3907617E-01
   8.4302098E-02  -1.6150296E-03  -1.8424195E+00  -6.3484955E-01
   8.9390390E-02  -2.2667802E-03  -1.8552058E+00  -6.3136822E-01
   9.3220741E-02  -4.0634972E-04  -1.8597738E+00  -6.2841141E-01
   9.9714831E-02   8.8006316E-04  -1.8562558E+00  -6.2292337E-01
   1.0460344E-01  -4.8352373E-05  -1.8578598E+00  -6.2035477E-01
   1.0723256E-01  -1.0980940E-03  -1.8558472E+00  -6.1459905E-01
   1.1416648E-01   6.3013424E-05  -1.8686606E+00  -6.1251843E-01
   1.1880984E-01  -2.2880985E-04  -1.8733716E+00  -6.0977131E-01
   1.2360369E-01   7.3777488E-04  -1.8731406E+00  -6.0599887E-01
   1.2828659E-01  -3.1424809E-04  -1.8561449E+00  -5.9759384E-01
   1.3289614E-01  -9.8030933E-04  -1.8690653E+00  -5.9688795E-01
   1.3797818E-01  -6.6539287E-05  -1.8807589E+00  -5.9381104E-01
   1.4321521E-01   8.1327738E-04  -1.8809360E+00  -5.8938408E-01
   1.4770737E-01   3.1162871E-04  -1.8491477E+00  -5.8070081E-01
   1.5246020E-01  -7.6152902E-04  -1.8701013E+00  -5.8045787E-01
   1.5770020E-01  -1.0783615E-04  -1.8786681E+00  -5.7790881E-01
   1.6347729E-01   8.2742661E-04  -1.8732096E+00  -5.7236773E-01
