  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:50:49  02/28/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      944      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.1050344E-03  -1.4604222E+00   1.7820731E+00
   1.7133401E-03  -3.6024823E-04  -2.9404285E+02   2.7241631E+00
   3.1306718E-03  -8.6195013E-03  -1.9832915E+00   1.9976326E+00
   4.4771368E-03   3.2198273E-03  -1.7502235E+00   1.7909392E+00
   7.0993779E-03  -5.7770449E-05  -1.9650668E+00   1.7902970E+00
   8.5096322E-03   3.7632177E-03  -2.0299509E+00   1.7906284E+00
   9.9903988E-03   3.3686634E-03  -2.0328028E+00   1.7913958E+00
   1.1545204E-02   2.2174115E-03  -2.0073810E+00   1.7926370E+00
   1.3177749E-02   1.5337832E-03  -1.9622216E+00   1.7949660E+00
   1.4891922E-02   1.1048010E-03  -1.8944981E+00   1.7997916E+00
   1.6691802E-02  -2.6552291E-03  -1.8473475E+00   1.8859991E+00
   1.8401690E-02  -2.3433536E-03  -1.9069071E+00   1.8858103E+00
   2.0197071E-02  -3.2889782E-03  -1.9530320E+00   1.8847673E+00
   2.2082221E-02   2.1066081E-03  -1.8691466E+00   1.7800453E+00
   2.3873115E-02   1.7837670E-03  -1.8867674E+00   1.7801366E+00
   2.5753552E-02   1.6575377E-03  -1.8736188E+00   1.7817314E+00
   2.7728012E-02   1.5711243E-03  -1.8477496E+00   1.7845880E+00
   2.9801194E-02  -8.9791504E-04  -1.7835172E+00   1.8555856E+00
   3.1770717E-02  -2.3713401E-03  -1.8374455E+00   1.8557765E+00
   3.3838715E-02  -2.6533857E-03  -1.8644120E+00   1.8552976E+00
   3.6010116E-02  -9.5800619E-04  -1.8426166E+00   1.8533981E+00
   3.8290087E-02   4.1938662E-03  -1.5939386E+00   1.7740024E+00
   4.0456057E-02   3.8604857E-03  -1.6464392E+00   1.7746451E+00
   4.2730328E-02   9.5413666E-04  -1.7178985E+00   1.8294215E+00
   4.4890884E-02   1.8545217E-04  -1.7217571E+00   1.8297629E+00
   4.7159467E-02   7.0474326E-04  -1.6748084E+00   1.8299965E+00
   4.9541481E-02   2.6233908E-04  -1.6015182E+00   1.8299426E+00
   5.2042592E-02  -2.3844417E-03  -1.3749843E+00   1.8137078E+00
   5.4418653E-02   1.7196933E-03  -1.4179296E+00   1.8129404E+00
   5.6913514E-02   3.1495146E-03  -1.4410621E+00   1.8120819E+00
   5.9533115E-02   1.5979955E-03  -1.4105865E+00   1.8115296E+00
   6.2283702E-02  -3.9812984E-04  -1.2279981E+00   1.8113378E+00
   6.5092504E-02  -6.8887393E-04  -1.2459217E+00   1.8116902E+00
   6.7804292E-02  -3.4804300E-05  -1.2342477E+00   1.8123406E+00
   7.0440106E-02   3.7807222E-05  -1.1595728E+00   1.8134785E+00
   7.2986215E-02   6.4702664E-04  -8.8385016E-01   1.8220546E+00
