  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:29:15  03/05/2024 jbnv     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1000      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   1.2475111E-04   5.6938062E+00   1.7958531E+00
   2.7374541E-03   1.9736011E-02  -2.3429550E+02  -6.7330793E-02
   6.3155759E-03   5.3237430E-03   5.8774848E+00   1.8723414E+00
   9.7104339E-03  -7.1990117E-03   5.5611739E+00   1.8611468E+00
   1.3453264E-02   2.2981120E-03   5.6974430E+00   1.7542315E+00
   1.7186739E-02   2.8091848E-03   5.6331267E+00   1.7588004E+00
   1.9194618E-02  -4.7630103E-05   5.6035128E+00   1.8800284E+00
   2.3104966E-02  -2.0612408E-03   5.5546927E+00   1.8773017E+00
   2.7205821E-02   2.3174065E-03   5.6818018E+00   1.7740430E+00
   2.9303567E-02   3.6573082E-03   5.6674132E+00   1.7762995E+00
   3.3598702E-02   2.3724661E-04   5.6261101E+00   1.8718363E+00
   3.5795830E-02  -4.0794330E-04   5.7048235E+00   1.8139783E+00
   4.0074736E-02  -2.2257949E-04   5.6995158E+00   1.8137536E+00
   4.2375952E-02  -1.3432410E-03   5.7743664E+00   1.8180461E+00
   4.7329318E-02   7.7871827E-04   5.7968688E+00   1.8308175E+00
   4.9739555E-02   1.2166713E-03   5.7925835E+00   1.8309277E+00
   5.2270301E-02   4.1193387E-04   5.8446541E+00   1.8322536E+00
   5.7717733E-02  -1.1865820E-03   5.9096313E+00   1.8334403E+00
   6.0647391E-02  -6.2186393E-04   5.9224300E+00   1.8332800E+00
   6.3723534E-02   7.0472335E-05   6.0329638E+00   1.8330654E+00
   6.6645861E-02   1.3387176E-03   6.0356054E+00   1.8327956E+00
   6.9714315E-02   1.1272328E-03   6.0602965E+00   1.8324836E+00
   7.2936185E-02   5.6925189E-04   6.1875696E+00   1.8337654E+00
   7.6319151E-02   8.6794706E-04   6.2111354E+00   1.8337487E+00
   7.9749338E-02  -1.0319579E-03   6.2873569E+00   1.8346791E+00
   8.2831390E-02   1.6204907E-03   6.3724780E+00   1.8361554E+00
   8.5891291E-02   8.1198703E-04   6.4407725E+00   1.8377055E+00
   8.9104190E-02   1.7347095E-03   6.4999266E+00   1.8393335E+00
   9.2117839E-02  -4.1233996E-04   6.5725183E+00   1.8411739E+00
   9.8604716E-02   3.9251149E-04   6.7086649E+00   1.8445653E+00
   1.0486751E-01  -2.4141018E-04   6.8697901E+00   1.8475751E+00
   1.0819364E-01  -1.9106703E-03   6.9462652E+00   1.8487602E+00
   1.1119778E-01   9.4087468E-04   7.0386448E+00   1.8499508E+00
   1.1414533E-01   1.8854179E-04   7.1234365E+00   1.8510182E+00
   1.1724027E-01   1.8659081E-05   7.1991534E+00   1.8519802E+00
   1.2004323E-01  -2.1000502E-03   7.3180995E+00   1.8523307E+00
   1.2313347E-01  -2.4247851E-04   7.4644184E+00   1.8562911E+00
