  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:58:26  02/29/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      977      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   9.6925505E-04  -3.0981867E+00   1.9056724E+00
   4.9306001E-03  -2.2250682E-03   9.0316910E+01   2.4781184E+00
   8.5275453E-03  -9.2764795E-03  -2.9747121E+00   1.9508597E+00
   1.4574055E-02  -2.6984145E-03  -2.8571014E+00   1.9053977E+00
   2.0702390E-02   1.1782514E-02  -2.8571835E+00   1.8919871E+00
   2.5315663E-02   2.3627587E-02  -2.7903738E+00   1.8925388E+00
   2.9917402E-02  -9.9447779E-03  -2.7513058E+00   1.8925596E+00
   3.4743339E-02  -1.1275224E-02  -2.7079062E+00   1.9326596E+00
   3.9804071E-02   4.5431834E-03  -2.7075393E+00   1.9121318E+00
   4.4852156E-02  -2.4477250E-03  -2.6696577E+00   1.8981757E+00
   4.9887620E-02   1.7463238E-03  -2.6529975E+00   1.8982869E+00
   5.4900326E-02   1.2573787E-03  -2.6426697E+00   1.8984203E+00
   6.0057953E-02   7.4444636E-04  -2.6427605E+00   1.8981174E+00
   6.2760860E-02  -4.1813324E-03  -2.5977883E+00   1.9137504E+00
   6.7907222E-02   6.6056321E-03  -2.6064341E+00   1.9094166E+00
   7.2874770E-02  -1.3482051E-04  -2.6101239E+00   1.9093783E+00
   7.9653256E-02   5.8877808E-03  -2.5858967E+00   1.9060698E+00
   8.3865151E-02   5.7174885E-03  -2.6092498E+00   1.9028970E+00
   8.7797992E-02  -1.4299793E-03  -2.6087699E+00   1.8996456E+00
   9.4509475E-02  -1.2858465E-03  -2.6455314E+00   1.8971676E+00
   9.8128609E-02   3.0840308E-04  -2.6175473E+00   1.8967276E+00
   1.0367643E-01  -1.0815379E-03  -2.6640174E+00   1.8958206E+00
   1.0800710E-01  -4.1722550E-04  -2.6378057E+00   1.8947964E+00
   1.1302039E-01  -1.1124656E-03  -2.6729395E+00   1.8940850E+00
   1.1857646E-01  -2.0965897E-04  -2.6980929E+00   1.8937769E+00
   1.2388096E-01  -4.9480970E-04  -2.7433898E+00   1.8941604E+00
   1.2748840E-01  -9.9140118E-05  -2.7396846E+00   1.8945388E+00
   1.3373479E-01  -1.1691295E-04  -2.7598691E+00   1.8949095E+00
   1.3811862E-01  -1.0632430E-03  -2.7673237E+00   1.8952193E+00
   1.4356087E-01   7.0566672E-04  -2.8145082E+00   1.8963748E+00
   1.4744326E-01  -2.4982914E-04  -2.8411801E+00   1.8969486E+00
   1.5279357E-01  -1.3870359E-03  -2.8576672E+00   1.8973249E+00
   1.5737925E-01  -4.9604475E-04  -2.9088898E+00   1.8966184E+00
   1.6256791E-01  -2.1917652E-04  -2.9091861E+00   1.8940690E+00
   1.6744258E-01  -8.0215518E-04  -2.9445860E+00   1.8930367E+00
   1.7218241E-01  -1.4550418E-04  -2.9925032E+00   1.8915436E+00
