  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:57  02/22/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      704      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   4.8520384E-04  -3.0171616E+00   3.9768202E+00
   4.9306001E-03  -1.0908823E-02   8.8533661E+01   5.2069941E+00
   9.6146697E-03  -3.1398127E-03  -2.7353599E+00   4.0761013E+00
   1.4064536E-02  -9.2967821E-05  -3.0503750E+00   3.9967937E+00
   1.8291909E-02  -1.1564983E-03  -2.8623497E+00   3.9837785E+00
   2.2730652E-02  -7.8725530E-04  -2.8194737E+00   3.9744158E+00
   2.7391331E-02  -5.4593844E-04  -2.7931812E+00   3.9719841E+00
   3.2285042E-02  -7.8957761E-04  -2.7665267E+00   3.9718409E+00
   3.7423443E-02  -1.1383138E-04  -2.7394650E+00   3.9737403E+00
   4.2818759E-02  -1.1471759E-03  -2.7142699E+00   3.9771900E+00
   4.8483845E-02   9.9169753E-05  -2.6851561E+00   3.9816458E+00
   5.4432184E-02   3.4580284E-04  -2.6560125E+00   3.9845619E+00
   6.0677938E-02  -2.4782310E-04  -2.6325984E+00   3.9848545E+00
   6.7235984E-02  -2.9426861E-05  -2.6195030E+00   3.9813087E+00
   7.4121930E-02  -5.8806146E-04  -2.6126540E+00   3.9795172E+00
   8.1352167E-02   3.2731771E-04  -2.6118357E+00   3.9734721E+00
   8.8943928E-02  -6.5586279E-04  -2.6171875E+00   3.9692042E+00
   9.6915267E-02   1.2186381E-04  -2.6314039E+00   3.9659305E+00
   1.0528518E-01  -1.6169455E-04  -2.6509044E+00   3.9632435E+00
   1.1407358E-01   4.8477162E-04  -2.6773834E+00   3.9617958E+00
   1.2324768E-01   5.1697909E-05  -2.7075579E+00   3.9609880E+00
   1.3245204E-01   2.0520893E-04  -2.7514727E+00   3.9599612E+00
   1.4160770E-01   2.4000925E-04  -2.7951863E+00   3.9585662E+00
   1.5075731E-01  -2.3368619E-04  -2.8393407E+00   3.9567094E+00
   1.5992606E-01  -3.5509752E-04  -2.8887696E+00   3.9543974E+00
   1.6910070E-01  -3.0239040E-04  -2.9383099E+00   3.9517469E+00
   1.7830706E-01   6.8069150E-04  -2.9869330E+00   3.9489408E+00
   1.8749548E-01   7.4640103E-04  -3.0246356E+00   3.9460704E+00
   1.9663161E-01   6.4606650E-04  -3.0604379E+00   3.9432180E+00
   2.0577194E-01   8.2117599E-04  -3.0881536E+00   3.9405363E+00
   2.1492776E-01   8.1857276E-04  -3.1146207E+00   3.9379706E+00
   2.2409301E-01   8.2322158E-04  -3.1412523E+00   3.9355013E+00
   2.3333403E-01   7.6329405E-04  -3.1609399E+00   3.9330661E+00
   2.4260318E-01   9.3740370E-04  -3.1731827E+00   3.9305501E+00
   2.5188813E-01   1.5086975E-04  -3.1770699E+00   3.9280775E+00
   2.6109272E-01  -8.1598992E-05  -3.1688073E+00   3.9257703E+00
